Lomuto,MedianOfThree
2827697157,3038723605
3351303598,4011571173
4050464075,4583109765
3911046633,4765419466
4203942652,4805882604
3827676015,3827004980
3353944153,3455760506
3090584552,3064465071
3210818693,3150356192
2841787122,3236055915
3456871578,3365018548
3398990686,3294210342
3342315845,4202103786
4212431061,5133500131
5057127211,5515863617
2857404029,3250176405
2772549514,3376360600
3268014017,3184139851
3093336982,3507351574
3415230759,3708505253
3553376914,3808663114
3372989831,3619558559
3581300354,3145261840
3547116311,3653351291
3681251736,3870390767
3459479131,3671358742
3429815285,3662651613
3192819587,3372169929
3216729913,3286521835
3268866475,3082159444
3056445118,2889199314
1954538571,2742688042
2407536730,2881565277
2581235768,3275646868
2570862630,3082548517
2494793955,3097072699
2561701142,3094167676
2700599082,3310585024
2816223396,4251618695
3200872227,3401082522
2828722150,3499497844
2865342489,3304176677
2775896308,3299503785
2797662672,3154819655
2752334728,3233811132
2672877650,3168682258
2806171409,3163998585
2788271578,3189032912
2769393061,3121314335
2819526580,3322962263
2806901961,3087171204
2713716441,3279220166
2810366078,3166760094
2677933817,3115716784
2682262120,3253172883
2894134572,3202189770
2821952298,3081660858
2886383035,3189086629
2831505721,3144589952
3020416972,3231451240
2914824376,3088884053
2940602699,3224172440
3455085726,2405510099
3502597009,2499352521
3278125705,2566119754
3439908363,2513750319
3325820290,2448930919
3473855030,2419690985
3517933893,2451925747
3556107707,2431253808
3682978386,2523412722
3608837859,2540938077
3501559439,2457436268
3584406263,2507786145
3445109199,2434081933
3446647473,2502788914
3470365526,2537956220
2027089290,2055836427
2624399342,2176597480
2867008116,2506550677
3191166224,2476147008
3040803176,2500531471
3236548720,2509154635
3308420598,2544014441
3531360247,3236801360
4086083318,2550040532
3682734179,2649127682
3567919715,2557982157
3439342571,2471592358
3466319030,2514951669
3364787133,2558733776
3450993518,2427758251
3477104326,2467531193
3439835585,2356394470
3903636846,2940972787
4794059458,3539691668
5185063716,3495362408
5339981535,3815587579
4925689943,3450822442
4255955512,2830390377
3778991305,2603344227
3729022895,2500149217
3815827689,2665234448
3971301802,2646899739
4066145876,2731719048
3893001282,2974163282
5158621871,3716181174
5868274887,4362486020
6196265252,5002778620
3445153875,2626048623
3451503390,2532910085
3935974288,2676676687
3644939870,2684653508
4288839203,2681597477
4377783110,2995802654
4154395045,2934880260
4400728956,2689513772
4002145433,2837701255
4254649212,3031268346
4363206705,2889312760
4290241818,2847864040
4139550518,2512404871
4094079386,2521437707
3871365824,2532393801
3711642995,2466982187
2726928852,3239733477
3182510506,3664289175
4284218201,4783915139
3746495796,4356172971
4400276633,4635318776
4140133905,4093874911
3151852064,3584130543
3019265254,3447360363
3005773383,3337382238
2959724459,3497918510
2941332147,3756696356
3109279917,3594597186
3073800494,4651376878
4021129653,5544190333
4925069690,5684424565
2717892780,3341066410
2844509127,3481923683
3183218224,3378747339
3027276211,3614933218
3277441686,3888755422
3436303801,3974258392
3327785339,3601694597
3416086480,3458652841
3403545471,3806128045
3498004187,3998207401
3363559531,3761147581
3298060830,3818439175
2983223033,3568005072
3064660229,3439853534
2966916731,3219685478
2892154904,2967089503
1862736528,2001355323
2841711682,2658375542
2718814753,2638543201
