BestShot@59,Lomuto
2993395827,3702925882
2807908561,3598297831
2938497972,3769661933
2981022361,3746835820
2844460392,3574237097
2870529370,3527319576
2964858716,3782982158
3149751540,3653116118
3270868906,3773472545
2926901116,3484775082
2805519696,3658368918
2637114723,3271425980
2807854889,3255178968
2664075116,3320158863
2874989965,3420927312
2622372504,3231070014
2786485682,3663644673
2779279400,3701974721
3038743428,3839086018
2967596249,3961109997
2730588177,3742187114
2815671933,3627513704
2805716307,3866643672
2893133783,3925260767
2908036138,3925170098
2684310669,3677825821
2579763774,3841488533
2411485342,3480972435
2581095503,3362096741
2311635160,3591700880
2544084220,3616508481
2710014655,3618873352
2892788872,3789204374
2792592363,3997630235
2746753172,4041752976
2763767563,4107017328
3054894973,4171180436
2769423542,4331237710
2788394235,4244099343
2831829216,4398822385
2551908629,4141659675
2530637060,3735769965
2820721334,4073617938
2590252112,3986938915
2884415138,4188849785
3033834208,4757448805
2979514622,5019505079
2485207212,4113744782
2477301201,4155967958
2405272241,3863507968
2782787968,3904617784
2905636163,3790258582
2831549858,3752670241
2839709487,3823371728
2675819208,3604001516
2964363041,3554803623
2731680876,3424731404
2694268584,3699798907
2829089002,3851171446
2778880739,3624796817
2798698950,3711231176
2787998154,3425353178
3352690927,2844505253
3460937522,2746463353
3310767956,2873517356
3463720960,2757444408
3161351768,2912202726
3566353537,2695326746
3339105090,3112474421
3275191746,3006850091
3216601310,2921126584
3720498982,3036216318
3607747860,2937169750
3210974877,2952579905
3255209482,2783741086
3861135520,2894393703
3362395136,2723928859
2884874137,2377422374
3223669571,2766990970
3280475403,2680126783
3071248695,2932108957
3585198998,3149507744
3119971080,3169650198
3387211060,3135784423
3555807971,3282806127
4157479710,3316988676
4193823955,3657347458
3904031273,3632676869
3824618551,3370503340
3410135772,3129420491
3330757323,2951441120
3169170800,3053012313
3421355115,3031805063
3442346212,3327089131
3141618364,3308615850
3252533419,2999434426
3434785297,3068285436
3651575265,3236767678
3538015578,2942093174
3372904420,3028590331
3488593767,2799417135
3483040447,2873002707
3725598303,3019647739
3322982573,3388515419
3128615163,3334494938
3346668217,3373200782
3154409695,3226280598
3129724692,3103422998
3388296377,3059149889
3699955835,2689047874
4049349243,2827829060
4192464899,2904315802
4079769023,3151084781
4022902605,2966381877
3705080614,3821815669
3644694875,3390254900
3870740648,3333853079
3703392571,3388893832
3265971311,3085479560
3415368596,3163283907
3441320651,3211549376
3621054256,2965178887
4072256807,3460372105
4138812836,3867571379
3412780043,3774352053
3419385672,3335579158
3244516878,3247984376
3283500362,3071468582
3260202529,3460277080
3453837145,3248967893
3192386440,3247129419
3064408317,3376855886
3126389026,3121360118
3151311179,3181228588
3453219811,3196011796
3379777150,3254629925
3188459290,3501013250
3314409651,3268379972
3150900677,3138894404
3201842361,3163565993
3344729425,3010377101
3572273986,3207091480
3638744364,3152202508
3493519098,3454947835
3187399565,3447281284
3713668899,3674613608
3866551480,3536488732
3501397765,3426950986
3722303133,3450202584
3274553288,3334265109
3468218800,3301448079
3155243816,3404296405
3528722398,3246527941
3808657327,3280970691
4203436278,3853081680
3769790401,3775279590
2693993087,2268334101
3177588837,2924795294
2947979503,3140832442
2893590392,3356267689
3529445820,3217848291
3107414433,3207927507
3322166959,3197168817
3531079655,3340581736
3910362962,3255856944
4160315934,3701021028
3669372528,3592545571
3779610585,3334785819
3248344454,3172780803
3164619336,3021833443
3048635773,3166144140
3270922428,3060900769
3109606346,2986456966
3321323123,2969531863
3206406587,3038441718
3202712666,2920168035
3200792535,2928614656
3350965273,2955414738
3231754494,3006605723
3354200909,3228439902
3140033630,2949369888
3724328452,2999622271
3335508182,3121978477
3281994348,3119089378
3314219188,2695976823
3452199566,3054043525
3045473736,2956180538
1651739597,3063835860
1619435486,1884695128
1719714551,2155231635
1709274234,1950164162
1833619847,1976925151
1754048413,2006205542
1669885891,1956941623
1690430199,1887875462
1703081790,1907158441
1775818896,1963920237
1721945370,1948163681
1719476552,1896273363
1562135588,1940054895
1664258176,1879796247
1662011095,1831737675
3374441045,3352154736
3291306160,3197251706
3393254197,3319638692
3255562020,3357419000
3106634895,3211906483
3357823641,3253571271
3308450906,3235769035
3468454796,3476404181
3163458167,3581059619
3251368467,3087495236
2896539396,3126531728
2891720900,2954364459
3082659543,3151481291
2923285424,3141445564
2332394815,3268147131
1643140741,1875572482
3297116530,2925880027
3695725247,3166119605
3335525116,2993764535
3540094897,3380434717
3247778090,3322478703
3207608935,3192019345
3693619777,3118931023
3443661701,3251320079
3739558147,3057598464
3509588359,3406021295
3410757252,2978496882
3260699330,2860676607
3024595620,2648333602
3277604355,3106880212
3193209767,2896816800
3044538393,3032431262
1627673860,2809203700
1620947890,1957030048
1693182156,1984429326
1705820546,1961270715
1827426209,1970105176
1749029517,2010146458
1708046170,1982226084
1674207624,1957491738
1750257747,1916771448
1752124771,1972091671
1706934608,1940785777
1685488232,1885736504
1531656557,1918773544
1665737982,1874742633
1652321970,1878947745
1419101879,1823846341
3293370294,3478693504
3219808087,3313883678
3137231694,3233133775
3032996470,3315148966
3436487977,3362908523
3104126391,3278551017
3138509402,3384934912
2985183070,3276238151
3177728606,3249017816
3256839168,3328755712
3193987872,3326135308
3239852919,3492861472
3239938377,3238538584
3212684419,3356859487
2995485221,3144609265
3300186240,3020734801
3587813924,3347122324
3568190963,3106174207
3354721700,3558657763
3337741710,3817482535
3762630781,3548698212
3664297488,3332571914
3443098189,3421071655
3591074621,3670378873
3160005998,3458746123
3283397962,3356580604
3140291477,3531156896
3197567151,3359836655
3737231084,3425000849
3870554588,3970382209
3664878799,4059579214
2517155093,2461216713
3022800340,3232705471
2758802801,3069321125
3026563873,3365254774
3037969496,3305057684
2903847201,3599918222
3341632404,3313639909
3230175774,3477636855
3895493411,3380488476
3993270585,3813894141
3817833182,3834583460
3718736630,3485525654
3360531208,3298738527
3200832628,2979384333
3183965503,3052995293
3421494146,3122434107
3213657290,2919846990
3254310406,2944513150
3250706967,2975179472
3323070144,2789282261
3215137223,2865957716
3380457410,2884052819
3318687483,2904051350
3127223469,2989672502
3164525412,3062857585
3446551300,2998633706
3247812389,3182490004
3208361067,2934532670
3317409944,2858568296
3414445184,3082338544
2926961301,3019111002
3356834969,2675722930
3539936923,2595896903
3316717313,2765383572
3324896927,2473950564
3357986170,2772507383
3509686714,2774598766
3503913955,2853420421
3360208964,2950274429
3255493343,2830555696
3695759412,3012282161
3432061342,3099150956
3398429200,2898370543
3426295649,2718824605
3590027215,2904233899
3209940837,2857294343
2708933186,2523923305
3283645668,2861188883
3419290332,2759230505
3176548131,2902187023
3711451325,3048880117
3294515458,3059229342
3494636212,3147337986
3557719525,3059000272
4283893376,3239424104
4255910440,3529837994
3936732276,3432132124
3930821554,3245947163
3446955385,3210244846
3410639572,2834499843
3331356051,2970787688
3434233482,2909595480
2666623348,3287927586
2743769776,3343069513
2994460117,3466416226
2705870925,3245598307
2783046284,3396232899
2953227671,3253160602
2973981061,3450644308
2949193692,3542412784
2901610037,3176836336
3197496070,3381349054
3076690481,3665708530
2973710229,3447742558
2934390112,3104426031
3071258017,3298163422
2677011118,3323002218
2746694149,3164771050
2650925061,2426771660
3099538876,2902763348
2881152119,2776688956
2870278440,3402598211
3093773765,3140312355
2637304118,3395328356
2862628617,3464786554
2961504854,3834786051
