0,25,50,75,100,125
2502272396,1710841044,1592042252,1589225292,1683625202,1707600083
2162888617,1673015653,1676820551,1733691298,1692468367,1741634170
1766149155,1802220015,1746424835,1716034982,1688165349,1802638245
1828468685,1848816353,1719569177,1671163873,1664519453,1834693232
1894210091,1815556614,1678429284,1682850740,1583966823,1784464811
1675212205,1686004716,1530920365,1532425677,1471767685,1581527176
1598049777,1535878309,1522951059,1416421200,1448156468,1614472342
1591736780,1588997582,1494176610,1478837742,1455090418,1610989137
1669693443,1683770483,1682523220,1645082150,1664032413,1706389179
1875630084,1899820987,1762358672,1804186279,1673946874,1873401180
1913628390,1756753392,1647936590,1687107729,1632223368,1701962103
1734754036,1624802386,1586964613,1493348571,1436073618,1657830629
1629753455,1556108549,1476135923,1436791403,1427251213,1499038389
1570009205,1486233364,1447619781,1447357055,1456088941,1589952527
1603914836,1633157150,1493131330,1542969497,1495331186,1632033166
2981427919,1928587925,1661291315,1708401819,1795428138,1863865259
2056971859,1666442504,1771331311,1745535340,1689915689,1754291580
1968758712,1804617527,1746828240,1619842425,1614388135,1653133405
1927818049,1809979131,1748767874,1645379264,1637572419,1655386839
1887930490,1815602574,1700020255,1643598166,1667517613,1695729177
1796328843,1628170145,1574557843,1535517055,1475379336,1514122349
1623997002,1521843257,1517018443,1479951472,1385041876,1498867731
1700382459,1530056303,1531157083,1490547776,1454775273,1474011478
1651362664,1696152680,1672049826,1633460527,1660286684,1726086267
1971361933,1872049997,1735179263,1668854961,1760086261,1815044559
1890742431,1731063971,1593410789,1653055798,1588174224,1541388667
1823991533,1755800702,1623067283,1581992314,1469693861,1585800033
1724208374,1529001061,1489065097,1420590798,1410471712,1409478958
1588851346,1499154432,1462551615,1477873192,1440165632,1607502570
1770264459,1640473854,1494614323,1478770365,1532885840,1474077384
1610545529,1580436184,1516168808,1352056756,1266067005,1284745772
3322099574,3011646193,2841341220,2831021442,3120731111,3901798441
3225014270,2917941242,2512990993,2713195521,2689701461,3648170829
3152679678,2783496230,2732869446,2595580213,2643074592,3533693890
3330658332,2693840566,2743229641,2805240233,2765421582,3294014343
3347623088,2958048502,2941762564,2934393251,2896408190,3899805268
3558850916,3117242434,2851990630,2663195771,2818854995,3471308160
3093985202,2634403708,2364888125,2702778203,2643077338,3463564705
3368625309,2658996683,2673071431,2711600595,2642525914,3636591371
2946967343,2741443982,2614191551,2604491647,2602677460,3549685796
3521780926,2857260637,2901308314,2856091311,2774666668,3307774240
3210800215,2866836365,2587950907,2759910791,2797193070,3549897359
3278003011,2775485762,2846121275,2883370891,2724989486,3596453276
3439058820,2740276774,2634666343,2699061028,2674641367,3374263296
2973354100,2566833947,2431545235,2621816230,2702914583,3626226478
3449915608,3048185760,3099747301,3110011241,3097374614,3580025801
3201949014,2891378944,2701481789,2737596321,2827419284,3085276705
2048043968,1721220249,1692522220,1759160533,1791263011,1928483027
1871677040,1778921071,1738874026,1689724486,1623571668,1852275555
1782625098,1722377650,1756912021,1719296096,1684386214,1812626668
1879068831,1764385847,1709477179,1648563907,1678892781,1849064850
1866699936,1793264651,1654696808,1657433469,1563263509,1736493872
1749772904,1624892133,1513232234,1512077993,1537937172,1644827408
1580889896,1536878216,1503634276,1408738932,1445684906,1609471484
1599225623,1541734534,1515251570,1494790471,1485139130,1679736080
1692562512,1815087317,1640021718,1649398731,1683831556,1885468955
1883585903,1816759312,1710217745,1739490801,1665136211,1656642862
1820173161,1706329779,1651619723,1570924585,1577028553,1748532785
1720835388,1638885072,1588413095,1477982116,1432525826,1662076554
1612559711,1552516938,1464742999,1395809681,1436462504,1580884965
1564944694,1487907547,1492783962,1449449708,1484598567,1766131983
1632928639,1527461075,1528039255,1548413988,1535012415,1642906166
2999491011,2671073052,2470593929,2609956411,2966113901,3900189080
3204374821,2796912508,2750078200,2788866950,3386536010,4313182279
3412511675,3083759256,3099004366,3104509154,3059660291,4437235800
3276462168,3020733850,3080031204,3116842363,3407597911,4496238409
3330254186,3075118785,3046094580,2836458326,3166472979,3961528322
3029914347,3041736036,3506710119,3218327582,3347207231,4560901755
3413317858,3493714930,3030586335,3176664340,3346190409,4246662813
3430867057,2779347580,3013568477,2665557682,2906251737,4026342181
3028458221,3013593532,3088865265,2974239049,3028232883,3884194445
3215947187,3151140224,3022133146,2862378158,3051300688,4290918083
3192501794,2945510218,3005076862,2919515054,2912001275,3927722559
3116737848,2867559697,2784703827,2716259666,3070568320,3402367904
2845512905,2884082856,2878662078,2759757467,3455509052,4167958839
3386473971,3256253571,3046796769,3189021365,3470722922,4238531275
3229315064,3034755286,3090667949,2816045123,3329959548,4056855216
2522489326,2165519603,2212714749,2162444469,2483399237,3367350229
2323524471,2402099418,2416507838,2489771183,2446434463,3379383474
2419385217,2795141125,2592660945,2227852502,2592318198,3416304920
2795129899,2807014075,2785342567,2582693891,2556458232,3436241415
2627867125,2479740896,2552500829,2615871950,2489041633,3286708853
2772326002,2380233538,2761669695,2568781890,2636155142,3279141226
2907441503,2672361086,2686603513,2906915984,2590245301,3260345430
2776201428,2660587442,2437460176,2566110276,2550446154,3285865638
2660652610,2510002113,2625966545,2528795195,2641474940,3196999791
2705249275,2699347680,2493312168,2820578410,2765922426,3575146883
2886848239,2898959876,2709533176,2839342847,2858367487,3527314324
2677173224,2843645530,2774797827,2772256698,2927603890,3693842093
2871576034,2978108431,3220929987,3212166527,3355031372,4695903968
3623387465,3649515773,3331365323,3308208893,3396382425,4457081019
3209933614,3188775198,3050614620,3049917067,3179602833,4395613451
3365648390,3392997920,3186113017,3064259348,3186500470,3872467382
3724413917,3167139785,3007660650,3028565085,3085758801,3892459203
3817500763,3214616806,3222489687,3363290533,3411799956,4414848825
4252010538,3221842319,3256695599,3287901386,3394880539,4535461922
3972563959,3248909096,3338314840,3342240657,3148141617,3983552169
4113188905,3294662924,3150629347,3379327747,3103264362,4150906896
3392931155,2880061714,2892210785,2601861783,2803543433,3670030664
3128676516,2589865548,2625055359,2579921686,2633341151,3668035250
3535861465,2639103322,2716440728,2904708534,2790952307,3613961706
3389122609,2807781174,2678491634,2592389676,2862035969,3445306967
3683598848,3067066013,2964594686,3099994011,3134427910,3927747241
3524532716,3183829782,2795445490,3027564602,2805156543,3572525632
3351420920,2473964723,2699289504,2875819530,2948952297,3751791266
3538227110,2898570079,2891122121,2750909178,3141238495,3467715915
3353460308,2719971864,2755201591,2641687821,2763128031,3328394581
3144558764,2946023426,2901856662,2730069547,2897517002,3497295412
3701945149,2975812732,2821584359,2916212607,2984810567,3552261388
3347528477,3240396380,3236207289,2976225091,3449517514,4335345130
3248656599,3103695653,2972557628,3138021432,3290105641,4114571482
3165471887,2921120091,3064868541,2983992748,3270106980,4098285650
3422406881,3246762513,3272483057,3135062310,3236038102,4324867819
3429446703,3131640354,2875834093,3250935360,3205279320,3974320731
3396820384,3082134623,3085501809,3535330444,3755798566,4253936790
4084325451,3625903745,3311211286,3274399640,3153824476,4077184696
3284728481,3408613146,2843229879,2840293275,2996563546,3986769731
