QuickThenInsert @ 30,QuickThenInsert @ 50,QuickThenInsert @ 70,QuickThenInsert @ 90
2633710629,2206185964,2021710562,2289296928
2681579709,2172459971,2090390939,2418384997
2452680385,2033974972,2226592494,2349567981
2574078728,2143494020,1942549565,2437322720
2560248869,2036706971,2076594402,2210188496
2535303806,2079952199,2061608250,2246708179
2651095859,1960109355,2119165419,2379854990
2688614477,2080577748,2137321783,2178193176
2467104818,1991170006,2077879482,2240653153
2598221080,2027239327,2140556586,2314595522
2875741879,2050764228,2765903834,3165487443
2322508005,2034345584,2155652932,2561397999
2578220528,2077485172,2161399882,2340868706
2753350323,2217797135,2056742352,2334828065
2665003844,2112642459,2105994930,2189897150
3024905549,2169366734,2223387578,2207745084
2756360597,2147150851,2016579462,2196437986
2777498517,2090025061,2192654043,2227872323
2758444735,2160863612,2065776087,2318950895
2755402844,2077138809,2040047590,2304942056
2657919108,1987802770,2221970799,2176204555
2605889357,2137093047,2021172132,2140488780
2609766737,1960173292,2117257439,2191546618
2807289309,2108643673,2068151421,2193640302
2544301440,2032715846,2122123697,2151087527
2871597841,1967193908,2088984356,2168463370
2979399562,2100232240,2643232722,3196203676
2432609115,1978825641,1988396006,2276418781
2964585448,2198871472,2183188679,2162797727
2936198074,2182086329,2072599220,2273968358
2671050796,2079425996,2087519889,2098595770
2076553892,2058615766,2053367097,2871506965
2086814809,2193545700,2171462681,2851074379
2142198923,2085980385,2163878830,2740655468
1998614802,2028174395,2139676934,2822389567
2047473592,2031559405,2034700109,2688608670
2260631252,2186902788,2130483851,2720129309
2178236748,2179834040,2057109453,2915524776
2058476995,2087523334,2218524531,2791567840
2180192675,2159209475,2241945322,2954589322
3062230306,2326565031,2338293712,2747485752
2131936724,2054700267,2119139351,3183678321
2159402331,2192281092,2171949587,2808429955
2071931938,2077653109,1999721938,2949990263
2068409686,2130235040,2187649378,3039838813
2117781522,2177892386,2161806269,2893276238
2159926722,2032099498,2272364548,2780357964
2160732524,2145408497,2251828758,2579608639
2029597689,2131867667,2252673126,2830654857
2117152493,1979322797,2236833394,2835770687
2051824316,2258044920,2207423098,2599679047
2063228087,2031310392,2136198861,2601315456
2003682906,2105565940,2228826958,2748613016
2068445505,2105100712,2171372853,2440029106
2063418049,2119370056,2240391346,2789818866
2032034154,2156855197,2101787452,2871608166
2086209362,2345368789,3423250212,2348519342
1969724410,2011431187,2123121310,2960684590
2211310587,2224951418,2150708312,2983983513
2126056716,2190105055,2162337042,2780223895
2167836070,2107822427,2022443092,3025469620
