Lomuto,QuickThenInsert @ 59
4059536000,2585503319
4433547596,3155460261
3789271229,2028651944
2607096438,2155928583
2404622112,2019761787
2694061999,2196158637
2505187511,2162291763
2645188526,2091234499
2406319410,2202501924
2860529631,2279386961
2828021818,2337587117
2917926974,2136497483
3135027347,2230751838
2781963565,1972916507
2463424473,1994141101
2920920007,2981804642
2660788928,2723626920
2525126305,2886476608
2663116586,2791238136
2778008355,2949202002
2653696338,2708872909
2833654901,2726928607
2651211578,2640837219
2607617991,2863488670
2778616073,2872972640
2742932512,2976550615
2847896140,2793651334
2811904986,3112549812
2979006645,3595691988
3106601927,4150848898
3849064518,3389023450
3085274829,2606705478
3013498206,2499547930
2861662154,2386063695
2993927378,2298260639
2885851002,2229833144
3142918698,2237964136
3069913709,2278084014
3180582638,2126420216
2905179980,2372470569
3233374770,2279113124
3362094348,2603610619
3357278591,2576899484
3260029769,2511199978
3403415607,2908818794
3731072801,3227553979
4273703967,3607273677
2811809935,2016802570
2640191459,2250968816
2307068539,2273636938
2609026928,2264737417
2546072827,2343854022
2454538285,2246999701
2453272357,2398594087
2674108133,2438913038
2602727763,2461394589
2470604481,2427462346
2768156863,2253848211
2286684250,1934483843
2211413564,2013324481
2030941645,1593446015
1734015424,1364247106
2784778445,3253452677
2761210054,3439853387
2860871746,3508066058
2672888347,3083831216
2792028835,3245722648
2290614033,3202318758
3043253968,3602360822
3094567832,3861190763
3396731087,4001656026
4279703673,5067816722
5168749128,6604670389
6105754489,6958920235
5766920072,6013783379
5277459756,5691353028
4767137391,5346645453
2770603015,2166612305
2486942736,2944077378
2566932848,3003279377
3077385977,3340629553
2856373013,3708216420
3299673559,3635818700
3036642769,3621427789
3395661965,4573621503
3669370313,3996506366
3413975722,3659922753
3062405796,3722528585
3145906706,3711319407
3506754687,4620399549
3653814274,4240746481
3285118775,4226186459
3417020852,3733968877
3826135282,3744216462
3481888765,3064517924
2780118002,2923615588
2844116955,3019636044
2961810960,2792193827
2749813431,2946346969
3093130591,3122917424
3870150439,4162323088
4343881984,4601405565
5149849571,4788835208
5161395612,4783939570
4464331981,3921213192
3884366372,3379214414
3816988375,3233648953
3790794527,3309787252
3197857137,2836288934
4063983301,4212353559
4183126369,4017164452
3600640404,3737641675
3067498519,3014938224
3170184306,3108882171
3489859017,3862155964
3907763637,3749893995
3983973406,3880333288
3289586372,3828025002
3233606779,3589937412
3454796784,3072764799
2778408451,3179020937
3200975890,3598461228
3996151416,4140488724
3994672442,4571132052
4301928279,4386874397
4000803908,4147029713
3648017489,3656278399
3080396811,3353211808
2894813103,3278522837
3310873531,4052141764
3691563167,3776250379
3610726191,3760037179
3369771558,3578048390
3366675796,3584333558
3330273505,3266549217
2711010963,3578011738
3020283509,3913556432
3669580486,4419808989
3916872170,4814455110
4146952793,4859197976
4214625901,4097254832
4488941865,4229052838
3864899588,3667817633
3189643181,3463029607
3061819137,3231172378
3398861819,3938899604
3750619454,3914060428
3574092059,3772517681
3443809847,3455061550
3316255738,3457066346
3504725631,3045857698
3025714647,3422477892
3211072671,3453646817
3977067642,3694633933
4136309361,4407320249
4609040336,4435224459
2541576051,1904621119
2203216720,2220453860
3551940641,2592990131
3416579762,2831980733
3196474056,3132468806
3721010005,3188187556
3511571990,3358621762
3439740464,4148916507
4095069035,3800594820
3873527804,3528634036
3199090729,3441050518
3387297011,3306387203
3638772448,3787627750
4156084969,3633499073
4126352498,3640193659
3998991990,3114978747
3623212197,2494367199
3288910797,2795364806
3368883379,3127874384
2806076485,2898356324
2993096150,2964423189
2463827470,3073558057
3168569053,3085926563
3440861050,3490269256
3614359052,3863764923
4484171677,4874662949
5271955118,6485844876
6390011265,6604001347
5973303535,5616036114
5516500924,5170199052
5325626893,5237738899
2548312721,3450316909
2416839713,3594260914
2481831504,3714782867
2524775669,3200035307
2421516068,3309722428
2362375852,3356273810
3799024769,3122193981
3417183126,3544841724
3650193759,4100922192
4694571312,4967827737
6019942287,6263694609
6145909674,6655376448
5372696283,6172483391
4890391722,5917207969
4656501854,4953021858
2554172853,2593520300
2585384422,3094559882
2561146237,3333544198
2856681207,3571305830
2838615194,3959552152
3079947435,3865571060
3014786614,3885643687
3275699707,4871654063
3320683690,4279121291
3206355606,3639814680
2929259143,3825692347
2923499552,3924119916
3225921726,4760950521
3403016344,4665023696
3302197739,4533398047
3174840449,3761896238
2538349647,2340398357
2599370933,3111536690
2482897910,3169816013
2884209656,3402277679
2721440514,3751300679
3040423503,3873333068
3024393370,3769017341
3264374288,4869577379
3457696115,4196909345
3336021930,3711719123
3016359935,3790382632
2974303688,3854153949
3338196444,4678421557
3468727888,4392297933
3440905778,4441464351
3278963508,3851446425
2704573264,3400594824
2674454303,3510460134
2481443571,3551485493
2715622232,3253968427
2696530735,3257020125
2364161636,3356137606
2896592166,3658454639
2967038569,4088903883
3508784637,4426320942
4169528993,5248494002
5367267995,6623021181
6044257064,6387171019
5928434869,6020718198
5035693731,5940782244
4542547934,5078031283
3887714737,4263901635
3543324660,2396191787
3420141139,2339823078
3333353118,2215322974
3051154326,2131257336
3282420862,2123094364
3261397263,2358273372
2962383308,2165516429
3088534587,2348805037
3097618649,2293076893
3016241441,2296970670
3112142387,2076334218
3073422249,2337852831
3446904932,2584774672
3187820698,2296293732
3573291996,2472361104
3528243787,3892870964
3134668461,3135600981
2671121854,2937635704
2695860876,3383080282
2757669985,3154809506
2708161122,3312247968
3001378276,3476484907
4122805027,4388265485
4423034048,4944970072
4738377736,5413987469
4630366494,5185259185
3929348371,4278358316
3371859270,3955474413
3369439011,3415312693
3152808444,3398858368
2790451859,3033697948
4050297492,3609677477
3397866599,3196531167
2821709602,2947116716
2976302706,2988719426
2950762765,2955832434
2851580286,3149674920
3043894988,3400739964
3755643139,4322408935
4506788396,4773874952
4473868498,5128058180
4833061167,5035531610
4393323862,4129484817
3623980548,3721201178
3544873786,3559941962
3515858132,3453720881
2792403890,3054022125
2742187046,2692978085
2783406224,2704155279
2522211542,2540219819
2842464661,2503664862
2761201612,2776894677
2704997599,2671032684
2946356410,2489919493
2901601456,2500446496
2760632062,2625101335
2818422375,2558651135
3036986971,2857112563
3168585563,2777395724
3049533092,2736572397
3224127838,3185364519
3457641859,3482940401
3321566019,2658214567
3119062350,2665891327
3365985889,2852573850
3229093298,2722637451
3221398112,2746153680
2740207981,2902389086
3187990611,3188193945
3580031041,3408987441
3812170455,3655786507
4535573498,4440945270
5502236380,6088808090
6658829635,5834111073
6543756586,5327027353
6051089927,5010793311
5663112333,4781027713
2477019096,1942179927
2606763057,2537462575
2717304747,2298993836
3566743178,2580800158
3258149294,3007438089
3740896251,3083200123
3642290320,2927837456
3440242969,4125623967
4189935864,3360471062
4304255058,3289126294
3487506904,3260922725
3663153399,3107166879
3904699189,3587665227
4565220063,3619603036
4343845319,3575946562
3941001892,3260665374
4291894800,3569503314
3470121632,2934440182
3116823664,2732446010
3006675935,2790064730
3168050104,2922843980
3090896512,3006508316
3177394371,2971770683
3843713740,4551844765
4347685854,4691858780
4954842343,5288115215
4637832303,5143130791
