Hoare,Lomuto
3998357197,2672130615
4159896105,2573866847
4401480923,2761226772
4206590860,2869766262
4710339473,2840817209
4488229321,2579873508
4291790083,2591193392
4168108962,2694193661
4219469159,2739424857
3964150282,2700650612
4201675210,2777181951
4426323409,2764234748
4416742333,3010835000
4463942319,2965387433
4448747758,2871297057
4494357595,2518758367
4200956569,2681049533
4200047844,2546982530
4137287493,2547386251
4765208692,2553863379
5112399628,2621714108
5141211327,3112119852
5295465271,2968804074
5165478930,2850954994
5515833301,3093311193
5659102418,3150911165
5737312387,3467237277
5163330934,3442593067
4650523415,2968034401
4340308759,2677205116
4098822855,2450409147
4575655134,3372939297
4301102768,2755547597
4022633642,2811333362
4250795242,2567194469
3923535329,2552934665
4462206493,2719076815
4770140173,2763419255
4699944304,3262969503
4705551072,3274153621
4647546990,3418395221
4995617978,3287782179
5189996655,3739311283
5622943435,4028201854
4798385740,3473728900
4483320173,3162212105
4063193359,2722565201
3673150570,2645553232
3853051712,2778899120
3984163099,2671004944
4191067641,2990975747
3978896854,2943230273
4458360796,2892547391
4274883953,2870348372
4180118254,3121713048
4027047141,2869703209
4040551366,2974093742
3775002277,2817504097
4027242290,2958397600
4337859455,2935512957
4224640462,3113160876
4279318818,3083561054
3338348475,4297322335
3120411729,3935581968
3074162124,3724403954
3039465538,4025531320
3052165770,3837032083
3336096919,4125086401
3635213354,4318935114
3841069039,4337130880
3592113891,4465960543
3955801767,4380162422
4058825158,4756613429
4382904924,4767259054
4116354548,4784774462
3404128049,4617602882
3100869276,4095595217
3464387273,4050026429
3473494422,4489212262
3583738896,4470166437
3736304546,4526369796
3497220550,4748896751
3708550712,4140607245
3708942551,3988641495
3685999903,4098394619
3616113345,4029791656
3406602431,4059675148
3425950960,4123699579
3415904437,4463145311
3400863562,4275885540
3324738247,4217998505
3785432295,3628567017
3365857540,4554075279
4345442403,2502279765
4587727848,2256501450
4795985270,2474525191
4491747300,2387755332
4884177148,2495495386
4965382438,2386016436
4694392296,2431075307
4587413816,2481700826
4546758467,2351211314
4357059082,2182343001
4667592809,2376629019
4892798971,2468491839
4836942583,2586838620
4901713987,2441215524
4504166694,2550576182
3075701652,2234958761
2882933878,3597930939
2885498125,3662147866
3005529222,3698650112
3194114564,3822142705
3137629872,4045858610
3350062462,3730751686
3163896492,4080824090
3117759032,4103667747
3108894555,3941297275
3126462227,3932416247
2895248784,3792780298
3110256879,3671099867
3200269731,3829567714
3266639171,4097399635
3451743790,3822713940
3535823882,3836662430
3432780464,3963401382
3519613490,3766163359
3377054746,3481225582
3245454803,3689069254
3438764680,3504179338
3751949943,3760161251
3918754647,4251603688
4040851746,4208333554
3745862296,4338471526
4103684871,4170635106
4236070977,4856544859
4451695847,4677889556
4136837795,4730776205
3692522524,4222874636
3390280978,3659317206
4922474483,2923935938
4762910810,2921334217
5033364457,3147180101
5157992713,3249470048
5052289654,3055052245
4765205988,3011495926
4764797774,3165897704
4755132825,3063538312
4511724974,3101227315
4595813862,3049244476
4890860294,2984954998
4608871648,3067332592
4526957864,2961232743
4619027569,3077357632
5221298380,2826812970
5131241599,2699843553
2604914898,2187482503
2825408417,2633161116
3075756237,3012177606
3677417064,2584157306
4318659435,2979649982
3994490500,2745423796
3945048117,2733831842
4278629369,3102528079
5058802731,2700393104
5346345933,2851955801
4634324876,2819624186
4660142700,2647330956
4502110931,2519667709
4444644301,2502780100
4240820662,2462324144
4480632386,2498645747
4769558981,2480816674
5267385554,2923705665
5203585169,3219528984
5886688987,3541650409
5199801662,3526414763
5403259439,3438596863
5177992373,3253487425
4797358624,2900376440
4442626654,2825088329
4600775358,2960466306
4430043054,2931927766
4498217693,2602547649
4557167811,2884488106
4553491195,2919129526
4619074987,2938521801
3324945419,3209391527
3576874222,3188436779
3633968747,3255721221
3591424134,3295775426
3827388394,3233634750
3675064147,3361867864
3624898278,3651724222
3580016145,3537031669
3387538809,3393039840
3435483848,3542822708
3589358172,3235721521
3808065632,3324869699
3700180865,3674214263
3766589717,3583072583
3806292776,3566665428
3613253661,3609358384
3588517446,3577122059
3536867610,3274659317
3438087467,3547349586
3580702153,3312056429
3860919707,3629838242
4144309712,4052356337
4128830518,4174538955
4138333897,4047772012
4228660118,3885707698
4445455819,4664851191
4632534314,4623381408
4307629698,4453655451
3809561537,4033512867
3647475262,3582933453
3252795373,3111685528
2953953985,3980104677
3335858802,3900470307
3075393646,3585998737
3055322480,3964743111
3087952742,3725013938
3239851764,4163303320
3692741204,4539349092
3694091708,4467745807
3441553972,4625873695
3876123334,4526565023
3922041670,4817248956
4185497097,4983106669
4349262568,5037351220
3468105094,4396634359
3130978417,4045395018
2856416926,3688027204
2822254978,3749831778
2793080012,3783483974
3139252611,3805199620
3140384179,3927253259
3231440593,3711025611
3170048693,4012353181
3210789053,4105614721
3118117301,3841040381
3143215375,3769904142
2996913510,3802429964
3176062711,3664570819
3204883283,3909170077
3435391442,4022308427
3294515626,4045302354
3248460725,4129980166
3037696062,3516363233
3046138913,2940279856
2483950366,1817827101
2508225820,1848372162
2614834360,1994656334
2674545554,1854909540
2539545600,1963793083
2581522911,1965390465
2690562768,2051403254
2639541409,2025105421
2536682223,1981970815
2475863126,1962077136
2493505938,1918353226
2569643826,2052480209
2407186281,1962963426
2461393932,1813654592
4326264141,3020913162
3218067949,2596147449
2482312392,1814453116
2491229134,1827593609
2609302342,1801042392
2671674611,1839007294
2556486773,1932176713
2552935985,2007611281
2668174835,1989377497
2619994074,2081407004
2542061449,1980013745
2458273251,2026596895
2503378711,1935468983
2580257969,1945518777
2393087079,1932981493
2482400362,1814316859
3412314914,3099548256
3573415384,2992875956
3573490754,3307508612
3557403421,3409287142
4059154599,3253671362
3849274340,3235702927
3840808353,3537760764
3722428141,3248791549
3574672331,3300090380
3573347809,3219390149
3682371750,3172804037
3953426016,3338637539
3926542403,3475564832
3907818734,3457365072
4019070230,3418078447
3000273054,3564389951
2273279474,2302374986
2296143473,2000702871
2279230112,2184188622
2402011640,2432651377
2367570582,2177932951
2499601506,1984599464
2529153809,2094138215
2532726170,2176432241
2433757078,2175926577
2411425930,2065108519
2437110303,2063012773
2443917851,2090811691
2327634108,2061394638
2371607226,1921709742
