BestShot@59,Library
3062557554,3327081034
2843794406,3169920737
2816361771,2975783986
2799703530,2876539699
2929377458,3090491648
2749877924,2638701399
2678612076,3086380045
3049424989,2987380698
3079928069,3334024978
2757214766,3755620719
3191294656,3578086769
3499258221,4144376200
3231577533,3662812223
3126104857,3338518786
2606361825,2933203798
3730577007,2992116526
3601678424,2783159685
3235075357,2746978090
3481357455,2694012553
3368263993,2330117825
3189191013,2445738220
3424594311,2510242792
3199857163,2506715185
3454965153,2836149757
3852184119,2848492947
3725015536,2603235608
4441427528,3038084781
3965862792,2931692143
3658722078,2864361489
3295384003,2892841702
2737330798,2478236538
3688415411,2597526910
3300064658,2799364700
3360063713,2320316540
3339464922,2350783678
3585353312,2463281710
3672182203,2396188880
3719526244,2522271393
3547677301,2767627857
3655863916,2790941065
3730951758,2558522003
3552314179,2411232024
3386120012,2409061145
3489229072,2469998335
3957660021,2791288557
3409285402,2675407562
4012977028,2808760648
4113138859,2529693137
3782913970,2583200383
3559578269,2630263383
3344394671,2634961298
3080159683,2528061934
3285571776,2556604074
3019730153,2525920719
3469100619,2417191747
2972995495,2364295595
3124980074,2701774510
3783833101,3044273099
3295352173,2917256656
4033719224,3057629983
3675316623,3379172236
3195843740,3188676018
3632105953,2925022894
3316142016,3126270156
3372588599,3188236230
3228873619,2912560665
3286915227,2782991491
3164592356,2610193909
2910159456,2635467259
3207528116,2325826513
3229264310,2496020031
3354374367,2969294389
3684130857,2901614195
3624551588,2774588648
4068993272,3120237724
3851468588,3140208916
3486259556,3055788637
3664457979,2634884315
3220217834,2848004800
3115527679,2303851693
3208505586,2482279929
3030019871,2572579080
3347139443,2723963319
3517967393,2766552487
3298119967,2944408006
3357452551,2883149199
3531035554,2878019510
3297918095,2756808497
3332677165,2641813049
3158678682,2683203648
3510488933,2738023536
3202333595,2921164837
3733349953,3037802170
2647582519,2871235355
1563541867,2076355797
1614892682,1417751078
1769896827,1530382472
1792171385,1536913919
1867223444,1751967125
1926122310,1742482102
1877207712,1823175076
1843492246,1667454427
1960380409,1756878229
1991768598,1851722938
2039562072,1750633209
2100554550,1754033130
1944931218,1759602908
2086872556,1781699725
1721963934,1610232463
3229824346,3024921896
2821600974,2524939712
1701840950,1666611026
1687997580,1444307258
1926444895,1599658814
1830698868,1597507457
1919876843,1652039371
1932645273,1749084463
1927343283,1665068790
1857761419,1743554274
1907998289,1740788003
1963887863,1874612891
1916386603,1820175405
2126576293,1863883129
2016398907,1954375626
